question,answer,followUp
What matters to you more - job satisfaction or salary?,"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company. ",Would you work in a company offering you 5 times more salary but the area may not be profoundly intriguing you?
"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ",Do you think not exhibiting the displeasure is the only way to tackle that situation?
What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",Have you ever endeavored to work on these drawbacks?
How do you balance life and work?,I donot think that I balance my work and life properly. Sometimes thereis heavy workload which donot allow me to spend time with my family. But I do give time to my personal life and family.,How do you think you can fine-tune and balance your work and life?
How do you balance life and work?,I most probably am not able to balance life and work but i usely make a time table to create a temp.  balance,How do you orchestrate to prioritize your personal and professional life?
Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,How will  you orchestrate a plan to achieve the rest?
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",How did you incentivize the team?
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",How did you build your team?
Are you a self-motivator?,"Yes. In fact , a big big yes. At times I need someone to show me the light but most of the times, I am that guarding light for myself. And it's important as well because somebody can't be there all the time.  ",Is there any example where you got out of a difficult situation all by yourself?
How would you be an asset to this organisation?  ,"My area of research is perfectly aligned with the job description and hence with me, comes my 2 years of research that will bring quality to the kind of work that is being done in the organization. Also i have been to industry for 3 years so i know how things work at an organization level,  so we need not waste time on getting me on board and doing ramp up sessions to get used to of working ethics. ",How will this company help you building your career?
What is the difference between confidence and over-confidence?,"well in easy words, confidence is a believe in our own capabilities (in respect to certain job) and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",How can you evade over-confidence?
Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",Has taking risk always paid off?
What obstacles or difficulties have you ever faced in communicating your ideas?,"I have been an active debater since my school days, so verbalizing an idea, abstract or otherwise, as such hasn't been an obstacle, so to speak. BUT, what I struggled with and what I learned over time is the rationing of words instead of rendering an unadulterated version of my ideas. Each and every situation is unique and requires a tact suited to it, and for a long time, I struggled with finding the right balance between good interpersonal skills and circumstantial need.",Can you give an authentic-life example to fortify your claim?
How would you convince your client with your ideas?,Just by explaining benefits of my way of doing the job and how he will get benefits from it.,What will you do if the client is too  authoritative?
How do you feel about working under a person who is younger to you?,"When I work under a person younger than me, I always follow two important things.  Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",Is huge age difference between team members a problem?
How would you be an asset to this organisation?  ,I can be an asset as I am patient while handling people and situations. I can participate and coordinate well with teams I get to work with. I can take in criticisms and work on to improve myself. I like to learn new things from anybody and will take necessary help whenever needed. I quite friendly with everyone.,Have you ever been a team leader?
How would you be an asset to this organisation?  ,I can be an asset as I am patient while handling people and situations. I can participate and coordinate well with teams I get to work with. I can take in criticisms and work on to improve myself. I like to learn new things from anybody and will take necessary help whenever needed. I quite friendly with everyone.,Can criticism always be seen as means for self-improvement?
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.
\
But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.
\
Overall, i will consider myself as an organised person!!",Do you always orchestrate your work?
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.
\
But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.
\
Overall, i will consider myself as an organised person!!",How would you act if a person in your team wasn't as organized as you and is hampering your competency to achieve success?
What are the qualities that you seek in your manager?,I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works. ,But what if the manager is very stringent in his/her desiderata?
How do you define success and how do you measure upto your own definition? ,"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",Do you strategize your work to achieve goals?
What are your views about further studies?,"It is indeed very important to gain knowledge and experience in areas which I am interested in to become an expert. So, I may go for Phd if I get accepted to  a top notch institution which works on my interest areas.",What does that mean to your job prospects at this company?
How do you feel about working under a person who is younger to you?,"The feeling would be a challenging one as I would think lowly of myself just because of someone else's sheer brillance. But if the person is good enough and knowledgable and of course not egoistic, then I can rather learn a lot from him/her.",How will you deal with it when a conflict arises?
How do you feel about working under a person who is younger to you?,"The feeling would be a challenging one as I would think lowly of myself just because of someone else's sheer brillance. But if the person is good enough and knowledgable and of course not egoistic, then I can rather learn a lot from him/her.",How will you maneuver administrative decisions?
Have you ever had to sell an idea to your co-workers? How did you do it?,"I had to, when we were brainstorming ideas for a hacking session. I first tried to understand their concerns and requirements. Later I pitched my idea in accordance to that. I ensured that I understood and answered all their queries. ",What were their first reactions?
Give an example of your creativity.,"i cant have perception to be creative,but some of my thoughts seems to be creative.one such example is the attitude i have towards others,every work others do either positive or negative,i hope there is some reason behind it,taking it in a creative way,may be it doesn't look creative,creativity is defined to me like this.",How do you identify ingenuity in others?
How do you define success and how do you measure upto your own definition? ,Success according to me is that you started something which you are scared of and you completed properly. According to me I've started and completed many things properly so I'm stand at reasonable level at my definition.,How would you quantify the quality of your prosperity?
What are the strategies you think one should have to perform well in such an interview?,"I would like mention in few points.
1) Come with a clear mind.
2) Have a good nights sleep , the previous night.
3) Practice before the mirror before coming to the interview.
4) Eat a healthy breakfast.
5) Don't heed to any naysayers advice. People may try to bring you down.
6) Visualise your success in the interview.
7) Be well prepared with your resume.
8) Take time to think while answering.
9) Be prepared to ask questions to the recruiter.
10) Don't let one failure dictate your future course of life. 
",How did you prepare your curriculum vitae?
What is the most difficult decision youve ever had to make at work? How did you arrive at your decision? What was the result?,"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",How do you conquer such dilemmas?
What is the most difficult decision youve ever had to make at work? How did you arrive at your decision? What was the result?,"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",What is your conventional decision making process?
How do you balance life and work?,"I think both should be independent regarding the times you allocate for them and its very important to not indulge problems in one with other. Once you come to office my focus and concentration would be on my work and once I go to home, I would forget my work and spend tie with my family.",How are your work and life?
What obstacles or difficulties have you ever faced in communicating your ideas?,"I am not very expressive and can't put thoughts into words, so i have failed in communicating my ideas and explaining it or even getting work done.",And what steps have you taken to surmount this hardship?
Where do you see yourself five years from now?,I want to work in NASA. I hope that  my dream will come true.,Are you taking compulsory steps to achieve that?
Do you regret any decision in your life?,"No, I believe in what decisions I take for myself. Even if they are wrong, I don't regret as at a point of time it was me who took that decision.",Do you feel responsible for your bad decisions?
How will you make the best of this job?,"Well, with this job I would try to enhance y technical skills as that is the most important thing which I should have in this stage of my life. Apart from learning new technologies, learning about different architectures and design patterns followed by different product of IT industry, I would also like to lead a team where I can deploy my technical skills a well as managerial skills. I would really like to learn lot of new technologies used by the company for different projects.  ",Do you think  learning is an important component of the job?
Why should you be hired from outside when someone could be promoted within the same organisation?,The person who is already within the organization is knowing the organization better and is a valuable resource. But if I get a chance I will definitely be putting more efforts to make the position successful in terms my efforts and proving my capabilities.,What is it that you would bring in?
What are your views about further studies?,"After my post-graduation,i would like to work for some software company so i will not go for any higher studies. ",What do you imply by some software company?
What are your views about further studies?,"After my post-graduation,i would like to work for some software company so i will not go for any higher studies. ",Aren't you fascinated with research?
Do you regret any decision in your life?,"No, I believe in what decisions I take for myself. Even if they are wrong, I don't regret as at a point of time it was me who took that decision.",What actions do you take if you feel the decision you took is not correct?
What strategies would you use to motivate your team?,Friendliness. They are always comfortable around me and that is what gets the real views out of them. Comfort is better. Let them have their personal time and their mental state shall reflect on the productivity.,Are there any other strategies?
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,"As a fresher, how do you think you can supersede an expert employee?"
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,What makes you think no one else can supersede you?
What are your strengths and weaknesses? ,"Strengths:
(1) I am a confident risk taker and prefer calculative risks over random experiments.
(2) I can handle stress very well, I tend to deal with the most daunting of tasks while being quite calm and composed.
(3) If I get fond of a particular subject, I make sure that I have got thoroughly gained all the  knowledge which the subject has on offer.

Weakness:
(1) I am a perfectionist, I prefer executing each of my tasks with utmost level of perfection which in most the cases tends to irritate my colleagues and friends.
(2) I have ObsessiveCompulsive Disorder, due to which its next to compulsory for me to have all my stuff well sorted much to the disliking of my friends.
(3) I am very choosy, only some of the subjects get my interest and I tend to be quite lethargic about the subjects which are out of my interest zone.  ",Can one be impeccable all the time?
What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,Can you tell us anything about these 'immutable' things that you have come across?
Why should you be hired from outside when someone could be promoted within the same organisation?,I am a consistent performer and hard worker. A person from outside has varied experiences and has higher chances of improving certain aspects of an organisation than a person who has stayed on in an organisation for a long time. An organisation should hence always be open to outside people. ,Can you give few examples of your experience when you made a difference in the organization through your work?
"If you could learn some new skill, what would that be?","I like master in communication skill. This skill is very much needed. This skill is just not for to communicate and express. This skill will help you to create a good character , convinced or influence with it. How to communicate to other that describe how confident you are. ",Does that denote you don't have the adeptness now?
"If you could learn some new skill, what would that be?","I like master in communication skill. This skill is very much needed. This skill is just not for to communicate and express. This skill will help you to create a good character , convinced or influence with it. How to communicate to other that describe how confident you are. ",How will you utilize the communication adeptness with the stakeholders who do not verbalize English fluently?
Why will you resign from a job?,If i find i could contribute nothing to the job and  when i find the job doesnot need me.I would also resign if the job give me any satisfaction.,So if the job is not giving you contentment in the first couple of months you will depart?
What matters to you more - job satisfaction or salary?,"Well, for me job satisfaction is the MAIN thing that matters. I cannot imagine myself doing some work that does not interest me, just for the sake of money. I am not saying that money doesn't matter. It does, to some extent. For example, I would be, in few years from now, working for a company that works in the area of my interests (compilers), which pays a decent amount as a salary to me. I am saying this because, I have worked hard to get to the stage where I am right now, and wouldn't want to go it for waste. On the other hand, I also plan to open an institute to teach students music, for free :)",How do you differentiate between job contentment and personal well being?
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",What tactics did you utilize to make them collaborate?
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Do you believe that makes the team to prosper?
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Don't you think having a good working alliance is paramount for any team to sustain in a long run?
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,"If not hired, would you reapply?"
What are your outside interests?,"I love watching cricket. I like to play volley ball, shuttle. I listen to songs. I have got an artistic inclination.  I love to help people grow. I love to do adventures and be adventures.",What according to you is art?
Give an example of your creativity.,"I developed a JavaScript library that manipulates the web elements using the data retrieved from accelerometer and gyroscope of smartphones and using which, the elements on the web page was made to simulate real-world shadows with an imaginary light source.",Awe-inspiring! Is it being utilized by others?
Are you a risk taker or do you stay away from risk?,"I am definitely a risk-taker.
\
One cannot move up the ladder of success without taking risks.
\
Having said that, I take risks only after assuring that the damage is minimal in case I fail.
\
I like taking risks as that will put me out of my comfortable place and give me new experiences.
\
Also, risks make me work harder.",Wont risks jeopardize your job?
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,How will you create  an amicable environment?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",What will you do if the boss still dissents?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",Would you get exasperated with an authoritative figure?
Are you a self-motivator?,"Yes, I am. Before I start working on something or when I start studying something I just recall the eventual purpose of it when is my personal goal. So, when that goal flashes in my mind I get boosted like anything. I have set-up high goals in my life. My life mantra would is never settle, wondering what that means? According to me, only 'MUD' settles in the bottom. ",Don't you have both perspectives in life whether positive or negative?
What are your strengths and weaknesses? ,My strength is my family and my weakness is my postponement mentality,How do you surmount your trepidations?
What motivates you to do a good job?,"I want to learn new things and explore new domains. For me one of the aspects of life satisfaction is job satisfaction. So, want to consider that point also. Then one more point I would like to make that I can not live without not doing anything. Also, I want to become financially independent and want to support family financially. ","So, how do you incentivize yourself?"
How will you make the best of this job?,I will try to give my 100% for this job. I will use this opportunity to learn things and make use of it to provide best results for this company. I will try to be friendly with everyone and motivate them to work together to complete the task given to the team. ,How will you coalesce with the team to collaborate?
What motivates you to do a good job?,The satisfaction that I get after giving my 100% for any job motivates. Every job I look for something to learn and experience.,How do you ascertain you give 100%?
What are the strategies you think one should have to perform well in such an interview?,In an interview one must have to be confident and fell like he talks to a person not to a system . So that  he gets the feel  of real communication and he can make his point clearly to the system.,How can you amend your communication skills?
Why shouldn't I hire you?,You shouldn't hire me if you felt that  I am not good enough to complete the tasks. ,What kind of tasks intrigues you?
How do you balance life and work?,"I think both should be independent regarding the times you allocate for them and its very important to not indulge problems in one with other. Once you come to office my focus and concentration would be on my work and once I go to home, I would forget my work and spend tie with my family.","If there's a consequential deadline coming up, will you take the work home and do it, or do you orchestrate to spend extra hours at the office?"
What matters to you more - job satisfaction or salary?,"These two are very much interrelated, as low salary will affect your daily survival and low job satisfaction will end you in depression. So according to me bit of both is required. ","How will you bring up the matter of salary to your boss, in case you realise you aren't being paid enough for the quality of work you do?"
How do you handle change?,"By staying steady and thinking some positives..Looking at my goal in life, I agree certain changes, when it happens in my life",How does visualizing  your goal help you with change?
Tell us about a situation when your work has been criticized.,"i faced criticism when i was in my first semester. A group project was assigned to our group by out ITP professor. Our group decided that we would explore on Web Development and present it to the whole class. Since, i hardly knew anything about Web Development, i chose an obsolete topic. On top of that my presentation skills were very poor. So facing the whole class was very embarassing to me. Eventually i ended up spoiling the presentation. That was the time when i was criticised for my work.",How did this experience avail you in future?
How would you handle a situation when your manager asks you to work overtime quite often?,"If i love my work then i will not mind working overtime and once it gets over i'll be satisfied with myself.
This'll increase my confidence also with dealing with deadlines and will help me in improving my skills.
And if i get tired i can always ask for a leave but eventually things will get completed with no due. ",Do you think it is justified for supervisors to elongate working hours of employees without prior notice?
Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,How will you amend your skills working in a team?
How would you be an asset to this organisation?  ,"I an not a kind of person who would stay calm in my room. I would first like to make something for myself and try hard to impact the world around me. I always dream too high, constantly push my boundaries, so I feel I would really make me an asset for the organisation.",What amendments have you done to impact the world around you?
How would you convince your client with your ideas?,"First, I would prepare myself for the potential questions.I would try and avoid a lengthy PPT stuff and prepare a very short presentation with mostly diagrams and very less text. May be present some case study where in the idea would have provided a much better solution than the one currently available. ",How do you react when your client does not get convinced with your conceptions?
Tell us about a situation when your work has been criticized.,It was a time when i was a beginner at coding and one of my friend gave me a task to build UI for his application.I ended up giving him a UI which was not so good.He then criticized me infront of others and i felt embarrassed and from then I started to enhance my abilities in coding.Now i feel so happy for that incident .,How did you commence enhancing your skills?
Give an example of how you worked in team.,"The first thing that comes to my mind, is the inter-school event in which I had participated during my 11th Std studies.  We were a team of 5 students, and we had to pick a theme for fighting climate change. Global warming was the buzzword in those days. We chose 'Sustainable Development' as our theme, and made models to depict different ways in which sustainable energy can be generated. The entire event was almost one month long and the five of us enjoyed it as well as learnt a lot, as it was our first experience of the 'professional' outside world.     ",What was the role of the team?
Where do you see yourself five years from now?,"Five years from now,with some very useful industry experience with me, I see myself teaching in some good college or pursuing a Phd from some good university which would further help me pursue my dream of teaching.",What is the approach to accomplish a task?
What was the toughest decision you ever had to make?  ,the toughest decision was 'weather to join syntel and start working or to go for post graduation'. And i choose post graduation as i felt give the amount of potential in my and my passion for my stream i can learn much better in higher studies.,How do handle the pressure?
Give an example of your creativity.,My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring.,Do you have any other ingenious hobbies?
Give an example of your creativity.,My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring.,Have you conceived an idea which others thought was bound to fail?
Do you regret any decision in your life?,"Yes
\
My first love
\
I regret falling in love. It destroyed me for quite sometime as it worked out very horribly. I have not yet completely recovered from it. But its probably for the best. It thought me many important things. Now I am much more careful and smart. Its probably because of that I started working very hard and I am who I am today. Maybe its all for the best. Still its one decision I regret in life. ",How would you recuperate from a setback?
What is the biggest challenge you have faced so far?,"Professional challege faced so far, was to convince a client board consisted of 8 people on a requirement where in all of them had different opinion. But my job as functional subject matter expert was to convince the board to come to terms of an application unit and deliver the content within timeline   ","What, in your presentation to the clients, was most effective?"
How do you kill your time when you are not working?,I read a lot. I also write and draw. I sometimes work on non-work related passion projects. I also read a lot of articles online on various topics that I am interested in.,Have you indited anything professionally?
Give an example of your creativity.,"I usually create lot of things at home.
\
I created something like oven,a box kind of thing.when you put something in that it and keeping the entire thing in the sunlight it gets heated in few minutes.   It is useful when you want something like pizza,hotdog...  heated.
\
and then created some cutting thing  ","Having verbalized that you are ingenious, what are your views on our company's current advertising policy and how can we make any amendments it, if any?"
Tell me about a time when you misjudged a person.,I do not have a particular instance. But many times the principle \innocent until proven guilty\' principle which i follow hasnt been true.',Did you apologise and make up?
Where do you see yourself five years from now?,"I dont way to hype myself a lot and I always aim to achieve realistic targets. So according to me, after five year I would be playing a very important in Research and Development sector of some corporate industry. Apart from the professional goals, speaking about the personal goals I would transform into a brave,strong and bold women from a college going girl.",Where do you visually perceive yourself ten years from now?
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",Did you ever exhibit leadership qualities and how?
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",What do you do to keep the team incentivized?
How do you balance life and work?,"I think both should be independent regarding the times you allocate for them and its very important to not indulge problems in one with other. Once you come to office my focus and concentration would be on my work and once I go to home, I would forget my work and spend tie with my family.",Are you inclined to relocate?
"If you could learn some new skill, what would that be?","The new skill/s that I would like to acquire is/are -
\
1.I wanna learn a new sport , like , table tennis which i always thought is a great game not only to improve you physically but also, I think when you hit that ball, you have to be extremely careful about hitting it with the right force. Even if we apply a little mmore force, it will go out. So, it imposes a constraint. We will have a very good co-ordination of mind and hand which is very essential in today's world. One needs to stop the gush of emotions and think rationally.
\
2. I'd love to learn to play a flute. It is by far the most soothing experiences i had. Whenever I hear someone play a flute, i get  immersed. It soothes my mind like none ",Would you be intrigued to take up teaching?
Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.",How do  you orchestrate to accomplish your dreams?
What motivates you to do a good job?,"I want to learn new things and explore new domains. For me one of the aspects of life satisfaction is job satisfaction. So, want to consider that point also. Then one more point I would like to make that I can not live without not doing anything. Also, I want to become financially independent and want to support family financially. ",What kind of job gives you job contentment?
What strategies would you use to motivate your team?,"1.FIrst thing i would let my team know is that results dont come overnight and we really need to work persistently to achieve them.
\
2.Its ok to fail but its not ok not to learn.
\
3.There is no shortcut to success and one has to pass through every obstacle he faces to achieve it.
\
4.If we were in a competition,i would tell my team that our success might not really be in our hands but what we can do is to give our best shot for it.
\
",How will you incentivize the team to accommodate last minute changes in the requirements?
Describe a difficult work situation / project and how you overcame it.,"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50% weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",How will you be handling it if a similar situation arises in your job?
Describe a difficult work situation / project and how you overcame it.,"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50% weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",Did you not make the team mate conscious of his/her obligation towards the team?
Give an example of a goal you didn't meet and how you handled it.,"I always fail keeping up my diet in order to lose weight, but i have lot of willpower and patience which keeps me going.",Give an example of your vigorous willpower.
What is the biggest challenge you have faced so far?,"The biggest challenge which I faced was when the release date of the product was closing in and there was a sudden requirement change. Thus, giving us a very short time to finish the desired task as per new requirement. In spite of all this project delivery met the deadline.",Did you not apprise the client of the criticality and consequences if you are not able to achieve thrm in time?
Are you a risk taker or do you stay away from risk?,I never loved taking risks I always wanted things to be straight forward but as the time has passed I have learnt to take risks and believe me I have taken a few very serious risks and one of them is dropping IIT Kharagpur and joining IIIT Bengaluru. I don't know how many people find this decision of dropping IIT a risk but trust me once you are in IIT then leaving it is really very difficult. ,Do you regret your decision?
Describe a decision you made that was a failure. What happened and why?,"When I was working at Cognizant Technology Solutions, I took up a project because it was the only one where an opening was available. The only other alternative was to be benched till another project came. Due to the unavailability of other projects, I took it up although I didn't find the project that interesting. The end result was that I ended up doing a project I wasn't all that excited about. I could have waited a bit longer and got a project of my choice.",Why didn't you find it fascinating?
Why should I take a risk on you?,I can do the work assigned to me on time.i work hard to achieve the goals set by you.then you would be definitely happy  with my work.you can believe my words because i was  the team lead in our batch in college.i managed to deal with every member of the group and make them work in gentle manner.,What were the complications you faced when you led your team?
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",What were the things you lacked in organizing the event?
What is the biggest challenge you have faced so far?,When am in childhood 2 times I got an accident that is the biggest challenge in my life.,Who helped you in overcoming that challenge?
What has been your best career move so far?,I think joining IIITB has been my best career decision so far.,Can you explain more on how joining IIITB has been your best career decision so far?
"If you could learn some new skill, what would that be?",I would love to undertake some mentor-ship roles in the long run. ,What type of mentor ship roles are you inclined to take?
Do you consider yourself lucky?,Yes I do. I was born in middle class family where I was given freedom to do what I want. I did my graduation from best school of my city. My parents gave me sufficient resources to live sustainable and healthier life.,Are you contented with your lifestyle?
How much do you value time at work?,Time is always precious. I try to get through my work as soon as possible.,How do you manage your time?
Are you a risk taker or do you stay away from risk?,I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,Are there particular things in a situation that you look into afore you decide that or it's arbitrary?
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Did you not assign a team lead to assess others' work?
